Season_fall-winter_sum,Season_spring-fall_sum,Season_spring-summer_sum,TotalPrice,Quantity,ShipCharge,TotalMallCouponDiscount,Week_Friday,Week_Monday,Week_Saturday,Week_Sunday,Week_Thursday,Week_Tuesday,Week_Wednesday,Holiday_Flag,SaleEventFlag_yahoo,SaleEventFlag_rakuten,Average_Temperature,Maximum Temperature,Minimum Temperature,Total Precipitation (mm),Brand_Price_Range_Very Low,Brand_Price_Range_Low,Brand_Price_Range_Medium,Brand_Price_Range_High,Brand_Price_Range_Very High,Brand_Price_Range_Extremely High,Category_Outer,Category_Suit,Category_Tops,Category_Bottoms,Category_Dress,Category_Accessory
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,17.4,18.5,16.4,10.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19.1,24.5,15.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,15950,1,0,0,1,0,0,0,0,0,0,0,1,0,20.7,25.4,16.6,0.0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,6000,1,0,0,0,0,1,0,0,0,0,1,1,0,21.0,23.2,18.9,0.5,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,15.7,21.2,11.1,13.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,11880,1,0,594,0,1,0,0,0,0,0,0,1,0,13.6,18.8,9.2,0.0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13.5,15.4,11.5,9.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.1,22.3,11.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,17200,1,0,0,0,0,0,0,1,0,0,0,0,0,15.4,19.3,12.3,0.0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,0,28700,2,0,0,1,0,0,0,0,0,0,0,1,0,11.2,15.3,10.2,9.5,0,0,0,1,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,13.6,19.2,8.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,49200,2,0,0,0,0,0,1,0,0,0,1,1,0,13.4,19.5,7.9,0.0,0,0,0,0,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.0,17.3,10.9,5.5,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,38600,2,0,1000,0,0,0,0,0,1,0,0,1,0,15.0,20.4,11.2,30.0,0,0,1,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14.5,16.6,12.8,1.0,0,0,0,0,0,0,0,0,0,0,0,0
